Name,Year,duration_min,genres,director,lead_actor,vote_average
Asterix & Obelix: Mission Cleopatra,2002,108.0,"Family, Fantasy, Comedy, Adventure",Alain Chabat,Christian Clavier,7.38
Fear City: A Family-Style Comedy,1994,100.0,Comedy,Alain Berbérian,Chantal Lauby,7.47
Les Misérables,2019,143.0,TV Movie,Michiko Namiki,Dean Fujioka,6.8
Caché,2005,117.0,"Mystery, Drama, Thriller",Michael Haneke,Daniel Auteuil,7.06
Beirut,2018,109.0,"Action, Thriller, Drama",Brad Anderson,Jon Hamm,6.292
Munich – The Edge of War,2021,130.0,"Drama, History",Christian Schwochow,George MacKay,6.925
Sergio,2020,118.0,Drama,Greg Barker,Wagner Moura,6.589
Official Secrets,2019,112.0,"Thriller, History, Drama",Gavin Hood,Keira Knightley,7.212
Italianamerican,1974,49.0,Documentary,Martin Scorsese,Catherine Scorsese,6.7
Goya's Ghosts,2006,114.0,"Drama, History",Miloš Forman,Javier Bardem,6.604
Lines of Wellington,2012,151.0,"Drama, History, War",Valeria Sarmiento,Nuno Lopes,5.802
Phantom Thread,2017,130.0,"Drama, Romance",Paul Thomas Anderson,Daniel Day-Lewis,7.315
Persona,1966,84.0,Drama,Ingmar Bergman,Bibi Andersson,8.154
Licorice Pizza,2021,133.0,"Drama, Comedy, Romance",Paul Thomas Anderson,Alana Haim,6.968
Code Unknown,2000,118.0,Drama,Michael Haneke,Juliette Binoche,6.7
Under the Skin,2013,19.0,Drama,Pedro Sotero,Rita Carelli,6.0
The Holdovers,2023,133.0,"Comedy, Drama",Alexander Payne,Paul Giamatti,7.68
Don't Look Now,1973,110.0,"Thriller, Drama, Horror",Nicolas Roeg,Julie Christie,6.924
Misery,1990,107.0,"Drama, Thriller",Rob Reiner,James Caan,7.747
Roman Holiday,1953,119.0,"Romance, Comedy, Drama",William Wyler,Audrey Hepburn,7.881
The Umbrellas of Cherbourg,1964,92.0,"Drama, Romance",Jacques Demy,Catherine Deneuve,7.386
Fitzcarraldo,1982,157.0,"Drama, Adventure",Werner Herzog,Klaus Kinski,7.638
Scott Joplin,1977,96.0,"Music, History",Jeremy Kagan,Billy Dee Williams,6.143
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles",1975,202.0,Drama,Chantal Akerman,Delphine Seyrig,7.383
Breathless,1960,90.0,"Drama, Crime",Jean-Luc Godard,Jean-Paul Belmondo,7.52
Death in Venice,1971,131.0,Drama,Luchino Visconti,Dirk Bogarde,7.283
Cabaret,1972,124.0,"Music, Drama, Romance",Bob Fosse,Liza Minnelli,7.415
Call Me by Your Name,2017,132.0,"Romance, Drama",Luca Guadagnino,Armie Hammer,8.115
The King of Comedy,1982,109.0,"Drama, Comedy",Martin Scorsese,Robert De Niro,7.779
The Round-Up,1966,90.0,"Drama, History, War",Miklós Jancsó,Zoltán Latinovits,7.3
Lola Montès,1955,116.0,"Drama, History, Romance",Max Ophüls,Martine Carol,6.824
Last Year at Marienbad,1961,95.0,"Drama, Romance",Alain Resnais,Delphine Seyrig,7.422
City Lights,1931,87.0,"Comedy, Drama, Romance",Charlie Chaplin,Charlie Chaplin,8.265
Dangerous Liaisons,1988,119.0,"Drama, Romance",Stephen Frears,Glenn Close,7.201
Once Upon a Time in America,1984,229.0,"Drama, Crime",Sergio Leone,Robert De Niro,8.407
Beasts of the Southern Wild,2012,93.0,"Drama, Fantasy",Benh Zeitlin,Quvenzhané Wallis,6.813
Belfast,2021,98.0,"Drama, History",Kenneth Branagh,Jude Hill,7.066
Picnic at Hanging Rock,1975,115.0,"Drama, Mystery",Peter Weir,Rachel Roberts,7.202
1900,1976,316.0,"Drama, History",Bernardo Bertolucci,Robert De Niro,7.817
The Killing of a Sacred Deer,2017,121.0,"Drama, Thriller, Mystery",Yorgos Lanthimos,Colin Farrell,7.0
Hector and the Search for Happiness,2014,114.0,"Adventure, Drama, Comedy",Peter Chelsom,Simon Pegg,6.7
"Onoda: 10,000 Nights in the Jungle",2021,167.0,"Drama, Adventure, War, History",Arthur Harari,Yuya Endo,7.103
Hackers,1995,107.0,"Action, Crime, Thriller, Drama",Iain Softley,Jonny Lee Miller,6.369
Army of Shadows,1969,145.0,"War, History, Thriller",Jean-Pierre Melville,Lino Ventura,7.908
A Prophet,2009,155.0,"Crime, Drama",Jacques Audiard,Tahar Rahim,7.586
The Mother and the Whore,1973,219.0,"Drama, Romance",Jean Eustache,Bernadette Lafont,7.434
Contempt,1963,103.0,"Drama, Romance",Jean-Luc Godard,Brigitte Bardot,7.1
Pierrot le Fou,1965,110.0,"Drama, Romance, Crime",Jean-Luc Godard,Jean-Paul Belmondo,7.361
Vivre Sa Vie,1962,84.0,Drama,Jean-Luc Godard,Anna Karina,7.724
Australia,2008,165.0,"Adventure, Romance, Drama",Baz Luhrmann,Nicole Kidman,6.592
The Vanishing,1993,109.0,"Thriller, Drama, Mystery, Horror",George Sluizer,Kiefer Sutherland,6.11
Caddyshack,1980,98.0,Comedy,Harold Ramis,Chevy Chase,6.6
"It's a Mad, Mad, Mad, Mad World",1963,197.0,"Action, Adventure, Comedy, Crime",Stanley Kramer,Spencer Tracy,6.971
The Sound of Music,1965,174.0,"Drama, Family, Music, Romance",Robert Wise,Julie Andrews,7.729
Night and Fog,1956,32.0,"Documentary, History",Alain Resnais,Michel Bouquet,8.2
Rocco and His Brothers,1960,178.0,"Drama, Romance",Luchino Visconti,Alain Delon,8.018
The New World,2005,151.0,"Drama, History, Romance",Terrence Malick,Colin Farrell,6.511
A Beautiful Mind,2001,135.0,"Drama, Romance",Ron Howard,Russell Crowe,7.855
Climax,2018,97.0,"Horror, Drama",Gaspar Noé,Sofia Boutella,7.053
Ashes and Diamonds,1958,103.0,"Drama, War, Romance",Andrzej Wajda,Zbigniew Cybulski,7.427
The Killer,2023,118.0,"Crime, Thriller",David Fincher,Michael Fassbender,6.577
Lancelot of the Lake,1974,85.0,"Drama, Romance, History",Robert Bresson,Luc Simon,6.257
Notorious,1946,103.0,"Thriller, Romance, Mystery",Alfred Hitchcock,Cary Grant,7.748
The Treasure of the Sierra Madre,1948,126.0,"Adventure, Drama, Western",John Huston,Humphrey Bogart,7.95
Intolerance: Love's Struggle Throughout the Ages,1916,197.0,"Drama, History",D.W. Griffith,Lillian Gish,7.074
Edward Scissorhands,1990,105.0,"Fantasy, Drama, Romance",Tim Burton,Johnny Depp,7.717
The General,1926,79.0,"Action, Adventure, Comedy, War",Clyde Bruckman,Buster Keaton,7.938
The Great Dictator,1940,125.0,"Comedy, War",Charlie Chaplin,Charlie Chaplin,8.296
The Kid,1921,68.0,"Comedy, Drama",Charlie Chaplin,Charlie Chaplin,8.154
Nanook of the North,1922,79.0,"Documentary, Drama",Robert Flaherty,Allakariallak,7.103
The House Is Black,1963,21.0,Documentary,Forugh Farrokhzad,Forugh Farrokhzad,7.33
Sans Soleil,1983,100.0,Documentary,Chris Marker,Florence Delay,7.444
Greed,1924,140.0,"Drama, Crime",Erich von Stroheim,Gibson Gowland,7.36
The Apartment,1960,125.0,"Comedy, Drama, Romance",Billy Wilder,Jack Lemmon,8.197
The Crowd,1928,98.0,"Drama, Romance",King Vidor,Eleanor Boardman,7.601
After Death,1915,46.0,"Drama, Horror",Yevgeni Bauer,Vitold Polonsky,6.037
The Passion of Joan of Arc,1928,82.0,"Drama, History",Carl Theodor Dreyer,Maria Falconetti,8.0
The Patriot,2000,165.0,"Drama, History, War, Action",Roland Emmerich,Mel Gibson,7.176
Le Trou,1960,132.0,"Drama, Thriller, Crime",Jacques Becker,Michel Constantin,8.254
Ran,1985,160.0,"Action, Drama, History",Akira Kurosawa,Tatsuya Nakadai,8.055
High and Low,1963,142.0,"Drama, Crime, Mystery, Thriller",Akira Kurosawa,Toshirō Mifune,8.348
Civil War,2024,109.0,"War, Action, Drama",Alex Garland,Kirsten Dunst,6.86
Frost/Nixon,2008,122.0,"Drama, History",Ron Howard,Michael Sheen,7.278
Crocodile Dundee,1986,104.0,"Adventure, Comedy",Peter Faiman,Paul Hogan,6.413
The Great Escape,1963,173.0,"Adventure, Drama, War",John Sturges,Steve McQueen,7.944
Midsommar,2019,147.0,"Horror, Drama, Mystery",Ari Aster,Florence Pugh,7.154
Seven Samurai,1954,207.0,"Action, Drama",Akira Kurosawa,Toshirō Mifune,8.456
Vertigo,1958,128.0,"Mystery, Romance, Thriller",Alfred Hitchcock,James Stewart,8.2
The Mad Adventures of Rabbi Jacob,1973,100.0,Comedy,Gérard Oury,Louis de Funès,7.394
A Dangerous Method,2011,99.0,"Drama, Thriller",David Cronenberg,Keira Knightley,6.4
King Solomon's Mines,1950,103.0,"Adventure, Action, Romance",Compton Bennett,Deborah Kerr,6.5
The Bounty,1984,132.0,"Action, Drama, History",Roger Donaldson,Mel Gibson,6.692
Planet of the Apes,1968,112.0,"Science Fiction, Adventure, Drama, Action",Franklin J. Schaffner,Charlton Heston,7.645
Blue Is the Warmest Color,2013,180.0,"Romance, Drama",Abdellatif Kechiche,Léa Seydoux,7.074
The Last Duel,2021,153.0,"History, Drama, Action",Ridley Scott,Jodie Comer,7.429
Cold Mountain,2003,154.0,"War, History, Adventure, Romance",Anthony Minghella,Jude Law,6.93
Being the Ricardos,2021,132.0,"Drama, History",Aaron Sorkin,Nicole Kidman,6.488
Trainspotting,1996,94.0,"Drama, Crime",Danny Boyle,Ewan McGregor,7.962
Wall Street,1987,126.0,"Crime, Drama",Oliver Stone,Michael Douglas,7.166
Tokyo Story,1953,137.0,Drama,Yasujirō Ozu,Chishū Ryū,8.17
The Inner Circle,1991,137.0,"Drama, History",Andrei Konchalovsky,Tom Hulce,5.635
Indochine,1992,159.0,"Drama, Romance",Régis Wargnier,Catherine Deneuve,7.1
Gattaca,1997,106.0,"Thriller, Science Fiction, Mystery, Romance",Andrew Niccol,Ethan Hawke,7.561
Zero Dark Thirty,2012,157.0,"Thriller, Drama",Kathryn Bigelow,Jessica Chastain,6.988
Career Opportunities,1991,83.0,"Romance, Comedy",Bryan Gordon,Frank Whaley,6.9
Death Wish,1974,93.0,"Crime, Drama, Action",Michael Winner,Charles Bronson,6.886
Vicky Cristina Barcelona,2008,96.0,"Drama, Romance",Woody Allen,Scarlett Johansson,6.792
Man of Aran,1934,76.0,Documentary,Robert Flaherty,Colman 'Tiger' King,7.3
Moana,1926,98.0,Documentary,Robert Flaherty,Ta'avale,6.6
Olympia: Part One – Festival of the Nations,1938,127.0,Documentary,Leni Riefenstahl,David Albritton,6.886
The Song of Ceylon,1934,38.0,Documentary,Basil Wright,Lionel Wendt,6.2
Spare Time,1939,15.0,Documentary,Humphrey Jennings,Laurie Lee,6.2
Backstroke,2017,11.0,"Thriller, Horror",Robbie Barclay,Josefine Christoffersen,5.8
Jamon Jamon,1992,95.0,"Comedy, Drama, Romance",Bigas Luna,Javier Bardem,6.2
He's Just Not That Into You,2009,129.0,"Comedy, Romance, Drama",Ken Kwapis,Ginnifer Goodwin,6.608
Nicht ganz Koscher,2022,120.0,Comedy,Stefan Sarazin,Luzer Twersky,7.8
My Father's Glory,1990,105.0,"Adventure, Drama",Yves Robert,Philippe Caubère,7.3
It's Only the End of the World,2016,99.0,Drama,Xavier Dolan,Gaspard Ulliel,7.2
Coco,2017,105.0,"Family, Animation, Music, Adventure",Lee Unkrich,Anthony Gonzalez,8.205
All the Mornings of the World,1991,115.0,"Drama, History, Music, Romance",Alain Corneau,Jean-Pierre Marielle,7.1
Shoah,1985,566.0,"Documentary, History",Claude Lanzmann,Claude Lanzmann,8.261
4 Little Girls,1997,102.0,Documentary,Spike Lee,Maxine McNair,7.261
La Strada,1954,115.0,Drama,Federico Fellini,Giulietta Masina,7.903
Malcolm X,1992,202.0,"Drama, History",Spike Lee,Denzel Washington,7.542
Murder Mystery,2019,97.0,"Action, Comedy, Mystery",Kyle Newacheck,Adam Sandler,6.271
For Whom the Bell Tolls,1943,170.0,"War, Romance, History, Drama, Adventure",Sam Wood,Gary Cooper,6.539
Johnny Got His Gun,1971,112.0,"War, Drama",Dalton Trumbo,Timothy Bottoms,7.505
Gallipoli,1981,112.0,"War, History, Drama",Peter Weir,Mel Gibson,7.047
The Lives of Others,2006,137.0,"Drama, Thriller",Florian Henckel von Donnersmarck,Martina Gedeck,8.034
Hamilton,2020,160.0,"History, Drama",Thomas Kail,Lin-Manuel Miranda,8.141
Spotlight,2015,129.0,"Drama, History",Tom McCarthy,Mark Ruffalo,7.814
White Man's Burden,1995,89.0,Drama,Desmond Nakano,John Travolta,5.1
Central Station,1998,110.0,Drama,Walter Salles,Fernanda Montenegro,8.139
"Rio, Northern Zone",1957,83.0,"Drama, Music",Nelson Pereira dos Santos,Grande Otelo,8.2
The Given Word,1962,98.0,Drama,Anselmo Duarte,Leonardo Villar,8.111
The Second Mother,2015,112.0,Drama,Anna Muylaert,Regina Casé,8.03
Invisible Life,2019,140.0,Drama,Karim Aïnouz,Carol Duarte,7.9
Speed,1994,116.0,"Action, Thriller",Jan de Bont,Keanu Reeves,7.144
